Lat,Long_,FIPS
+33.0236041,-116.7761174,06073
+17.9714853,-066.2622515,72123
+32.7094283,-083.9791874,13079
+18.2110697,-065.7357490,72103
+38.6464737,-094.3545467,29037
+41.7547699,-073.7400411,36027
+30.2150752,-096.4102717,48477
+38.1706581,-104.4898924,08101
+36.9465168,-092.5158918,29067
+48.7944116,-100.8312572,38009
+35.0501921,-078.8287187,37051
+43.7202092,-108.4350765,56017
+44.6825347,-082.8340784,26001
+39.0620323,-120.7227181,06061
+35.8963868,-092.6958884,05129
+33.1784124,-101.8184933,48305
+42.6297762,-075.0288410,36077
+35.0046360,-079.7556946,37153
+35.0172328,-079.2419635,37093
+40.6379916,-096.1310274,31131
+41.4382883,-078.1983145,42023
+33.0821859,-080.4046966,45035
+44.0184598,-093.5898443,27161
+43.7298732,-099.0929090,46015
+35.6782498,-085.7773428,47177
+39.3323642,-087.7916872,17023
+38.5134727,-084.0642300,21201
+36.3339054,-089.4855365,47095
+33.2077000,-079.9536554,45015
+34.5788523,-093.1469323,05051
+38.6484085,-095.7075964,20139
+41.3059114,-080.7687013,39155
+31.4948885,-098.5946231,48333
+35.4019206,-102.5976203,48359
+40.9138467,-079.9189776,42019
+45.8496440,-115.4673371,16049
+38.3596474,-097.1027707,20115
+37.5739280,-078.5291687,51029
+35.3883690,-080.5526938,37025
+37.2808043,-092.8760795,29225
+41.0375594,-112.2019434,49011
+44.0107107,-095.1831303,27033
+27.3855924,-080.8873884,12093
+34.8333330,-083.9892568,13291
+42.4715414,-092.3080334,19013
+31.3432997,-093.8519129,48403
+39.0713596,-083.0529085,39131
+33.2902197,-087.5227834,01125
+31.9900824,-087.3049349,01131
+33.5007144,-089.6396251,28097
+40.5091198,-098.9476019,31099
+40.1768964,-101.0442170,31087
+39.5759152,-075.6441324,10003
+43.7609939,-111.2117653,16081
+41.4684044,-090.5722031,17161
+37.4035413,-076.5235051,51073
+33.9948773,-094.2432792,05133
+40.7537986,-086.3551685,18017
+42.6941260,-112.8444070,16077
+40.5849801,-086.5651412,18015
+40.0093755,-075.1333459,42101
+43.8788305,-107.6690520,56043
+36.3423438,-076.1624876,37029
+42.4530063,-076.4734835,36109
+34.2776284,-091.9307005,05069
+33.9576750,-091.7276258,05079
+43.5993661,-090.8219835,55123
+37.5943638,-090.9846823,29093
+33.1489586,-095.5651936,48223
+42.5882401,-073.9740095,36001
+31.3230362,-095.4215995,48225
+39.7262533,-081.0909868,39111
+38.5235917,-099.3091827,20165
+40.0402962,-086.8927145,18107
+37.5659319,-101.7893829,20187
+37.6081160,-083.7192475,21129
+48.2454895,-093.7828417,27071
+29.4486708,-098.5201465,48029
+40.0949699,-105.3976911,08013
+36.0484787,-083.4409664,47089
+36.3038040,-095.2356382,40097
+43.9781089,-094.6137980,27165
+43.3941920,-113.9553713,16013
+30.2695293,-092.8162205,22053
+44.7223250,-100.1313985,46119
+39.7618502,-104.8811054,08031
+34.5828612,-096.2880390,40029
+45.5168247,-104.5153243,30011
+31.3538163,-102.0415461,48461
+38.3173981,-087.5805231,18051
+41.1992736,-103.7031528,31105
+41.5881403,-088.4306257,17093
+38.9041031,-077.0172290,11001
+38.4075069,-108.2662815,08085
+45.1750914,-093.9663965,27171
+42.5797034,-087.4250046,55059
+39.6269919,-106.6951694,08037
+37.7272391,-123.0322294,06075
+38.0093735,-108.4273260,08113
+61.1742503,-149.2843294,02020
+29.8906441,-081.3839483,12109
+33.3459638,-089.2513319,28019
+40.1125409,-093.5650538,29079
+43.9951867,-085.8113997,26085
+42.9424607,-086.6549462,26139
+41.8942937,-087.6454546,17031
+37.7686768,-088.2279642,17059
+34.1557959,-082.1278759,45047
+38.5580187,-095.2789618,20059
+46.8983772,-096.4949007,27027
+35.5853171,-089.2816536,47075
+41.3004660,-113.1268080,49003
+34.7636183,-088.9188185,28139
+39.8544259,-080.6717944,54051
+38.8342339,-081.6777168,54035
+43.3946984,-115.4712050,16039
+39.4431666,-076.6165693,24005
+48.0717430,-099.3511517,38005
+39.3399592,-091.1716071,29163
+38.6038659,-082.5171856,39087
+37.0477927,-089.5680975,29201
+38.8344683,-083.4780816,39001
+32.2381358,-098.2223769,48143
+34.6343924,-083.5258749,13137
+32.8042663,-083.1755122,13319
+39.6336448,-080.0590736,54061
+40.8485244,-082.9247827,39033
+27.1905809,-081.8062531,12027
+41.4726517,-072.1086339,09011
+40.0566648,-081.4978750,39059
+42.5828109,-085.3145503,26015
+36.7510040,-093.4737009,29209
+37.5313990,-077.4760085,51760
+36.3935056,-080.2661995,37169
+41.0291908,-093.7840961,19039
+42.8641219,-091.8403761,19065
+38.0518169,-122.7459738,06041
+34.9625290,-101.8955472,48381
+32.1094232,-094.7563823,48401
+41.3324459,-093.5687512,19181
+40.8555203,-084.5857751,39161
+26.9548102,-081.1908197,12043
+33.0292666,-084.6670579,13199
+37.2775474,-105.4289399,08023
+31.3911774,-097.7980223,48099
+41.3285283,-094.4781643,19001
+32.3474454,-084.7880206,13053
+37.5700295,-119.9128613,06043
+39.1433650,-092.6959255,29089
+44.9008984,-122.5762602,41047
+43.0176601,-087.4815541,55079
+44.6518050,-093.5337311,27139
+39.6489470,-083.0528267,39129
+37.5494041,-077.9128553,51145
+39.9532103,-105.0519954,08014
+35.2204764,-087.3965460,47099
+45.0054553,-085.1756390,26009
+34.6016700,-079.6794351,45069
+47.2184513,-116.6335414,16009
+41.7474419,-089.2993505,17103
+40.3852358,-095.8530563,31127
+34.8583426,-076.5358601,37031
+39.3821868,-096.3371126,20149
+42.2484738,-084.4208679,26075
+29.8054913,-098.2605440,48091
+41.3058778,-070.1419099,25019
+33.2030211,-081.0531607,45009
+28.1042254,-096.9779830,48007
+31.2886522,-083.2278695,13019
+39.8540452,-087.4620713,18165
+44.3395168,-084.6112715,26143
+36.4893563,-081.1322988,37005
+40.7210862,-120.6299518,06035
+38.8847220,-077.1756027,51610
+27.4816825,-082.3687669,12081
+39.9660457,-081.9435064,39119
+38.7382234,-106.3166833,08015
+38.3061801,-103.7727363,08025
+38.4551696,-105.4249583,08043
+30.7747929,-089.5869043,28109
+31.1693073,-088.9887554,28111
+41.3938927,-099.7268662,31041
+30.3888013,-085.1979155,12013
+38.9305031,-084.5334381,21117
+43.0597409,-092.3172101,19037
+41.8946125,-088.7689910,17037
+43.0754105,-093.7436965,19081
+46.8170312,-102.6620262,38089
+46.9406018,-085.5823683,26095
+34.2518484,-097.2879273,40019
+36.2651840,-076.2606959,37139
+36.5765287,-105.6379865,35055
+33.7991391,-090.8841199,28011
+37.9658636,-116.4590107,32023
+36.4522106,-082.9313855,47073
+46.1101438,-103.5059433,38011
+39.9107505,-078.1226171,42057
+30.2065065,-092.0641700,22055
+33.2321615,-098.1711758,48237
+41.0969077,-089.7974111,17175
+34.9338533,-099.5529675,40055
+35.8159564,-100.2792102,48211
+46.3337914,-116.7609091,16069
+45.4276046,-100.0278563,46129
+38.5070999,-122.3259045,06055
+34.2906760,-098.3734379,40033
+37.9426107,-090.8970179,29221
+43.0085456,-076.5745866,36011
+32.7438198,-099.3470045,48417
+30.5743884,-095.1631363,48407
+42.4634808,-090.8787708,19061
+37.7188141,-077.9176263,51075
+39.3513521,-101.7198590,20181
+40.7741590,-082.5427812,39139
+39.9860525,-091.1949607,17001
+40.1327753,-083.7676037,39021
+43.3611883,-072.2220839,33019
+40.7488665,-087.8336010,17075
+41.6845262,-092.5228819,19157
+40.8296612,-081.8871942,39169
+33.4127172,-084.4939407,13113
+33.2692195,-083.0004653,13141
+29.9435246,-098.7092693,48259
+42.2869702,-074.1495421,36039
+38.2501930,-078.0096224,51137
+34.1170728,-094.7660863,40089
+31.4570027,-083.5259307,13277
+40.9098778,-096.1406086,31025
+44.3629687,-097.4993130,46077
+42.9748981,-105.5059169,56009
+43.4074890,-075.0116830,36043
+46.4692780,-099.5045846,38047
+46.4615130,-089.8068630,26053
+46.9376289,-095.7417568,27005
+34.3095637,-086.3216681,01095
+36.2841401,-083.8360878,47173
+39.4047806,-078.9566899,54057
+46.5444245,-090.6796907,55003
+40.5965386,-088.2245882,17053
+46.2842552,-100.2378424,38029
+40.7605142,-122.0435556,06089
+29.7897222,-092.2915678,22113
+36.3412985,-091.0284409,05121
+45.7161762,-089.5345333,55085
+32.7301699,-091.2341409,22035
+30.8397837,-091.0434338,22037
+29.9181102,-089.2634941,22087
+29.2784805,-096.2296745,48481
+55.6827733,-133.1623885,02198
+57.1124581,-133.0085979,02195
+34.0737305,-101.3032742,48153
+56.3174160,-132.3439780,02275
+37.7235917,-084.2769976,21151
+35.6881849,-083.9229731,47009
+45.5180536,-111.1639214,30031
+34.3321854,-079.9621155,45031
+31.1222867,-087.1684097,01053
+33.7951646,-085.2200629,13143
+37.8842285,-095.3009448,20001
+39.7660780,-088.2228656,17041
+38.2979805,-078.4701629,51079
+13.4382886,+144.7729493,66010
+44.1128231,-089.2397862,55137
+36.0948792,-091.9136252,05065
+36.2401070,-121.3155723,06053
+32.7320870,-108.3815043,35017
+38.2166802,-092.4298762,29131
+36.2088833,-081.1660949,37193
+58.6435233,-134.2811673,02110
+39.3786957,-094.7614717,29165
+39.6603695,-094.8081728,29021
+34.8102387,-086.9813995,01083
+39.9295911,-085.3973629,18065
+41.1879253,-097.5706627,31143
+41.5454953,-083.0126127,39123
+47.3294703,-096.4638068,27107
+41.6790143,-095.3089173,19165
+39.5633008,-077.0153677,24013
+42.0925474,-092.0576300,19011
+37.7967740,-082.5066231,21159
+45.5054439,-092.9038486,27025
